region	dm_method	model	predictors_dict	selected_predictors	features_importance	fscore. mean	recall. mean
lPc	k_medoids	SVM	['ReactionTime_P', 'Saccades_P', 'Mouth_looks_P', 'SpeechActivity_P', 'Face_looks_P', 'Smiles_I', 'SpeechActivity_I', 'Happy_I', 'LexicalRichness_P']	['ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t3', 'IPU_I_t6', 'IPU_I_t3', 'Smiles_I_t6', 'Smiles_I_t5', 'disc_IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t4', 'Happy_I_t6', 'Happy_I_t4', 'Happy_I_t3', 'Face_looks_P_t5', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'LexicalRichness_P_t6', 'SpeechRate_I_t3', 'Saccades_P_t6', 'Mouth_looks_P_t6', 'Mouth_looks_P_t5', 'Mouth_looks_P_t4', 'IPU_P_t6', 'IPU_P_t4', 'IPU_P_t3', 'IPU_I_t5', 'IPU_I_t4']	[0.27, 0.17, 0.11, 0.1, 0.08, 0.08, 0.08, 0.05, 0.04]	0.56	0.59
lPc	k_medoids	RF	['SpeechActivity_I', 'Happy_I', 'Smiles_I', 'Mouth_looks_P', 'SpeechActivity_P', 'Face_looks_P', 'Saccades_P', 'SpeechRate_I', 'Eyes_looks_P', 'ReactionTime_P', 'SpeechRate_P']	['Feedbacks_P_t4', 'LexicalRichness_P_t6', 'Sad_I_t6', 'Eyes_looks_P_t6', 'Eyes_looks_P_t5', 'ReactionTime_P_t5', 'UnionSocioItems_P_t6', 'Smiles_I_t6', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'SpeechRate_P_t5', 'SpeechRate_I_t4', 'SpeechRate_I_t3', 'Saccades_P_t6', 'Mouth_looks_P_t6', 'Mouth_looks_P_t5', 'Mouth_looks_P_t4', 'IPU_I_t5', 'IPU_I_t4', 'IPU_I_t6', 'ReactionTime_P_t6', 'ReactionTime_P_t3', 'Smiles_I_t5', 'IPU_I_t3', 'IPU_P_t6', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t4', 'Happy_I_t6', 'Happy_I_t4', 'Happy_I_t3', 'Face_looks_P_t5']	[0.19, 0.15, 0.15, 0.11, 0.11, 0.06, 0.06, 0.06, 0.04, 0.03, 0.02]	0.57	0.57
lVMPFC	k_medoids	SVM	['ReactionTime_I', 'ReactionTime_P', 'Overlap_I', 'Subjectivity_I', 'Gaze_speed_P', 'SpeechActivity_I', 'AU_eyes_I', 'Saccades_P', 'AUs_mouth_I', 'Neutral_I', 'SpeechActivity_P', 'Polarity_P', 'Sad_I', 'LexicalRichness_I', 'Feedbacks_P', 'Subjectivity_P', 'TypeTokenRatio_P']	['Overlap_I_t6', 'Overlap_I_t5', 'Angry_I_t6', 'AU_all_I_t3', 'AU_all_I_t4', 'AU_all_I_t5', 'AU_all_I_t6', 'AU_eyes_I_t3', 'ReactionTime_P_t6', 'UnionSocioItems_P_t5', 'Smiles_I_t5', 'ReactionTime_P_t5', 'UnionSocioItems_P_t4', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'AU_eyes_I_t4', 'AUs_mouth_I_t3', 'AUs_mouth_I_t4', 'AUs_mouth_I_t5', 'AUs_mouth_I_t6', 'Feedbacks_P_t4', 'Mouth_looks_P_t6', 'Mouth_looks_P_t5', 'Saccades_P_t4', 'Saccades_P_t5', 'Mouth_looks_P_t3', 'Subjectivity_I_t3', 'Subjectivity_I_t4', 'Subjectivity_I_t5', 'Subjectivity_I_t6', 'Saccades_P_t6', 'Mouth_looks_P_t4', 'Sad_I_t5', 'Sad_I_t6', 'Sad_I_t3', 'TypeTokenRatio_P_t6', 'TypeTokenRatio_P_t5', 'LexicalRichness_P_t4', 'TypeTokenRatio_P_t4', 'Feedbacks_P_t3', 'LexicalRichness_P_t3', 'TypeTokenRatio_P_t3', 'UnionSocioItems_I_t3', 'SpeechRate_I_t3', 'UnionSocioItems_I_t4', 'LexicalRichness_I_t4', 'UnionSocioItems_I_t5', 'UnionSocioItems_I_t6', 'LexicalRichness_I_t6', 'IPU_P_t6', 'Subjectivity_P_t6', 'IPU_P_t5', 'Subjectivity_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'ReactionTime_I_t3', 'Gaze_speed_P_t6', 'ReactionTime_I_t4', 'Gaze_speed_P_t3', 'ReactionTime_I_t5', 'Gaze_speed_P_t4', 'ReactionTime_I_t6', 'Gaze_speed_P_t5', 'Sad_I_t4', 'Overlap_I_t3', 'Overlap_I_t4', 'Angry_I_t4', 'Polarity_I_t3', 'Neutral_I_t5', 'Neutral_I_t4', 'Angry_I_t3', 'Polarity_I_t5', 'Neutral_I_t6', 'Neutral_I_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'Polarity_P_t5', 'Happy_I_t6', 'Angry_I_t5', 'AU_eyes_I_t5', 'IPU_I_t5', 'TypeTokenRatio_I_t5', 'IPU_I_t6', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'Polarity_P_t3', 'Feedbacks_P_t6', 'AU_eyes_I_t6', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t3', 'Feedbacks_P_t5']	[0.18, 0.1, 0.08, 0.08, 0.08, 0.06, 0.06, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	0.54	0.57
lVMPFC	mi_rank	RF	['AU_all_I', 'AUs_mouth_I', 'AU_eyes_I', 'Happy_I', 'Sad_I']	['Happy_I_t6', 'Sad_I_t3', 'Sad_I_t5', 'AUs_mouth_I_t3', 'Sad_I_t4', 'AUs_mouth_I_t4', 'AUs_mouth_I_t6', 'AUs_mouth_I_t5', 'AU_all_I_t5', 'AU_all_I_t6', 'AU_all_I_t3', 'AU_all_I_t4', 'AU_eyes_I_t6', 'AU_eyes_I_t5', 'AU_eyes_I_t3', 'AU_eyes_I_t4']	[0.32, 0.26, 0.21, 0.12, 0.09]	0.54	0.54
rV1	k_medoids	SVM	['ReactionTime_P', 'SpeechActivity_P', 'AU_eyes_I', 'SpeechActivity_I', 'Happy_I', 'Saccades_P', 'AU_all_I', 'TypeTokenRatio_P', 'LexicalRichness_P', 'SpeechRate_I', 'Feedbacks_P', 'Neutral_I', 'Angry_I', 'TypeTokenRatio_I', 'ReactionTime_I', 'AUs_mouth_I', 'UnionSocioItems_P']	['ReactionTime_P_t4', 'UnionSocioItems_P_t3', 'IPU_P_t6', 'IPU_I_t5', 'disc_IPU_I_t5', 'TypeTokenRatio_I_t5', 'IPU_I_t4', 'IPU_I_t3', 'disc_IPU_I_t3', 'TypeTokenRatio_I_t3', 'IPU_I_t6', 'IPU_P_t3', 'ReactionTime_P_t3', 'ReactionTime_P_t6', 'UnionSocioItems_P_t5', 'ReactionTime_P_t5', 'UnionSocioItems_P_t4', 'IPU_P_t5', 'Feedbacks_P_t4', 'Saccades_P_t3', 'IPU_P_t4', 'Saccades_P_t6', 'AUs_mouth_I_t4', 'AU_eyes_I_t4', 'AU_all_I_t4', 'Feedbacks_P_t6', 'Saccades_P_t5', 'Feedbacks_P_t5', 'SpeechRate_I_t6', 'SpeechRate_I_t3', 'AUs_mouth_I_t3', 'AU_eyes_I_t3', 'AU_all_I_t3', 'ReactionTime_I_t6', 'ReactionTime_I_t5', 'AUs_mouth_I_t5', 'AU_eyes_I_t5', 'AU_all_I_t5', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'Happy_I_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'Happy_I_t6', 'Happy_I_t4', 'AUs_mouth_I_t6', 'AU_eyes_I_t6', 'AU_all_I_t6', 'Polarity_I_t6', 'Neutral_I_t6', 'Neutral_I_t4', 'Neutral_I_t3', 'Feedbacks_P_t3', 'LexicalRichness_P_t3', 'TypeTokenRatio_P_t3', 'LexicalRichness_P_t4', 'TypeTokenRatio_P_t4', 'LexicalRichness_P_t6', 'TypeTokenRatio_P_t6', 'LexicalRichness_P_t5', 'TypeTokenRatio_P_t5', 'Overlap_I_t6', 'Overlap_I_t5', 'Angry_I_t6', 'Angry_I_t5', 'Angry_I_t4']	[0.14, 0.14, 0.09, 0.09, 0.07, 0.06, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.02, 0.02, 0.02]	0.58	0.58
rV1	mi_rank	LREG	['SpeechRate_P', 'Gaze_movement_energy_P', 'SpeechActivity_P', 'AU_eyes_I', 'AU_all_I', 'AUs_mouth_I', 'Happy_I', 'Mouth_looks_P', 'TypeTokenRatio_P', 'Neutral_I', 'Saccades_P']	['SpeechRate_P_t5', 'Gaze_movement_energy_P_t4', 'Mouth_looks_P_t6', 'Gaze_movement_energy_P_t5', 'Gaze_movement_energy_P_t3', 'TypeTokenRatio_P_t4', 'LexicalRichness_P_t3', 'Saccades_P_t4', 'disc_IPU_P_t5', 'IPU_P_t6', 'IPU_P_t5', 'SpeechRate_P_t4', 'AUs_mouth_I_t4', 'SpeechRate_P_t3', 'AUs_mouth_I_t5', 'TypeTokenRatio_P_t3', 'AUs_mouth_I_t6', 'disc_IPU_P_t4', 'AUs_mouth_I_t3', 'AU_eyes_I_t3', 'AU_eyes_I_t4', 'IPU_P_t4', 'AU_eyes_I_t5', 'disc_IPU_P_t3', 'AU_all_I_t3', 'AU_eyes_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'Neutral_I_t6', 'AU_all_I_t6', 'IPU_P_t3', 'Neutral_I_t5', 'Happy_I_t4', 'Happy_I_t5', 'Neutral_I_t4', 'Happy_I_t3', 'Happy_I_t6', 'Neutral_I_t3']	[0.16, 0.15, 0.15, 0.11, 0.08, 0.08, 0.07, 0.06, 0.06, 0.04, 0.02]	0.56	0.63
rV1	k_medoids	RF	['Happy_I', 'SpeechActivity_P', 'Neutral_I', 'AU_all_I', 'ReactionTime_P', 'AU_eyes_I', 'LexicalRichness_P', 'SpeechRate_P', 'Overlap_I']	['ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'UnionSocioItems_P_t4', 'UnionSocioItems_P_t3', 'TypeTokenRatio_P_t3', 'AU_eyes_I_t6', 'AU_all_I_t6', 'disc_IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'Happy_I_t6', 'Happy_I_t4', 'Happy_I_t3', 'Neutral_I_t4', 'Neutral_I_t3', 'Feedbacks_P_t6', 'LexicalRichness_P_t6', 'LexicalRichness_P_t4', 'SpeechRate_P_t3', 'IPU_P_t6', 'IPU_P_t4', 'IPU_P_t3', 'Overlap_I_t5']	[0.24, 0.21, 0.16, 0.09, 0.09, 0.08, 0.04, 0.03, 0.02]	0.58	0.6
rVMPFC	WFS	SVM	['Gaze_movement_energy_P', 'AU_all_I', 'Gaze_speed_P', 'Face_looks_P', 'Happy_I', 'Saccades_P', 'Neutral_I']	['AU_all_I_t6', 'AU_all_I_t5', 'AU_all_I_t4', 'AU_all_I_t3', 'Happy_I_t6', 'Happy_I_t5', 'Happy_I_t4', 'Happy_I_t3', 'Neutral_I_t6', 'Neutral_I_t5', 'Neutral_I_t4', 'Neutral_I_t3', 'Gaze_speed_P_t6', 'Gaze_speed_P_t5', 'Gaze_speed_P_t4', 'Gaze_speed_P_t3', 'Gaze_movement_energy_P_t6', 'Gaze_movement_energy_P_t5', 'Gaze_movement_energy_P_t4', 'Gaze_movement_energy_P_t3', 'Saccades_P_t6', 'Saccades_P_t5', 'Saccades_P_t4', 'Saccades_P_t3', 'Face_looks_P_t3']	[0.33, 0.19, 0.15, 0.09, 0.08, 0.08, 0.07]	0.54	0.57
rVMPFC	WFS	RF	['Gaze_movement_energy_P', 'Gaze_speed_P']	['Gaze_speed_P_t6', 'Gaze_movement_energy_P_t4', 'Gaze_movement_energy_P_t3']	[0.64, 0.36]	0.54	0.54
lV1	k_medoids	SVM	['SpeechActivity_P', 'Saccades_P', 'LexicalRichness_P', 'ReactionTime_P', 'Feedbacks_P', 'Smiles_I', 'SpeechActivity_I', 'UnionSocioItems_P', 'TypeTokenRatio_P']	['ReactionTime_P_t6', 'ReactionTime_P_t5', 'ReactionTime_P_t4', 'UnionSocioItems_P_t4', 'TypeTokenRatio_P_t3', 'Smiles_I_t5', 'Smiles_I_t4', 'disc_IPU_P_t3', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4', 'Feedbacks_P_t6', 'Feedbacks_P_t5', 'Feedbacks_P_t4', 'LexicalRichness_P_t6', 'LexicalRichness_P_t5', 'LexicalRichness_P_t4', 'Saccades_P_t6', 'IPU_P_t6', 'IPU_P_t4', 'IPU_P_t3', 'IPU_I_t5', 'IPU_I_t4']	[0.28, 0.23, 0.2, 0.12, 0.07, 0.03, 0.03, 0.03, 0.02]	0.55	0.55
lV1	mi_rank	RF	['AU_eyes_I']	['AU_eyes_I_t5', 'AU_eyes_I_t6', 'AU_eyes_I_t4']	[1.0]	0.56	0.56
WM	none	RF	['IPU_P', 'disc_IPU_P', 'disc_IPU_I']	['IPU_P_t6', 'IPU_P_t5', 'disc_IPU_P_t6', 'disc_IPU_I_t3', 'IPU_P_t4', 'IPU_P_t3']	[0.5218619290030809, 0.2415955835057571, 0.23654248749116188]	0.51	0.51
rTPJ	k_medoids	SVM	['SpeechActivity_P']	['IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3']	[1.0]	0.63	0.65
rTPJ	k_medoids	LREG	['Overlap_I', 'SpeechRate_I', 'Gaze_movement_energy_P', 'AU_eyes_I', 'SpeechActivity_P', 'ReactionTime_P', 'LexicalRichness_P', 'SpeechActivity_I', 'Eyes_looks_P', 'Sad_I', 'TypeTokenRatio_P', 'AU_all_I', 'AUs_mouth_I', 'UnionSocioItems_I', 'ReactionTime_I', 'Mouth_looks_P', 'Feedbacks_P', 'Angry_I', 'Subjectivity_I']	['Overlap_I_t6', 'Overlap_I_t5', 'Angry_I_t6', 'AU_all_I_t3', 'AU_all_I_t4', 'AU_all_I_t5', 'AU_all_I_t6', 'AU_eyes_I_t3', 'ReactionTime_P_t6', 'UnionSocioItems_P_t5', 'ReactionTime_P_t5', 'UnionSocioItems_P_t4', 'ReactionTime_P_t4', 'ReactionTime_P_t3', 'UnionSocioItems_P_t6', 'AU_eyes_I_t4', 'AUs_mouth_I_t3', 'AUs_mouth_I_t4', 'AUs_mouth_I_t5', 'AUs_mouth_I_t6', 'Feedbacks_P_t4', 'Feedbacks_P_t5', 'Feedbacks_P_t6', 'IPU_I_t3', 'disc_IPU_I_t3', 'IPU_I_t4', 'Subjectivity_I_t5', 'Subjectivity_I_t6', 'Saccades_P_t6', 'Mouth_looks_P_t4', 'Sad_I_t5', 'Gaze_movement_energy_P_t3', 'Eyes_looks_P_t5', 'Sad_I_t6', 'Gaze_movement_energy_P_t4', 'Eyes_looks_P_t6', 'Sad_I_t3', 'Gaze_movement_energy_P_t5', 'Eyes_looks_P_t3', 'LexicalRichness_P_t6', 'TypeTokenRatio_P_t6', 'LexicalRichness_P_t5', 'TypeTokenRatio_P_t5', 'LexicalRichness_P_t4', 'TypeTokenRatio_P_t4', 'Feedbacks_P_t3', 'LexicalRichness_P_t3', 'TypeTokenRatio_P_t3', 'SpeechRate_P_t3', 'UnionSocioItems_I_t3', 'LexicalRichness_I_t3', 'SpeechRate_I_t3', 'UnionSocioItems_I_t4', 'LexicalRichness_I_t4', 'SpeechRate_I_t4', 'UnionSocioItems_I_t5', 'LexicalRichness_I_t5', 'SpeechRate_I_t5', 'UnionSocioItems_I_t6', 'IPU_P_t6', 'IPU_P_t5', 'IPU_P_t4', 'IPU_P_t3', 'disc_IPU_P_t3', 'ReactionTime_I_t4', 'ReactionTime_I_t5', 'ReactionTime_I_t6', 'Sad_I_t4', 'Gaze_movement_energy_P_t6', 'Eyes_looks_P_t4', 'Overlap_I_t3', 'Overlap_I_t4', 'Angry_I_t4', 'AU_eyes_I_t6', 'IPU_I_t6', 'IPU_I_t5', 'Angry_I_t3', 'Angry_I_t5', 'disc_IPU_P_t6', 'disc_IPU_P_t5', 'disc_IPU_P_t4']	[0.11, 0.11, 0.11, 0.08, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.02, 0.02, 0.02]	0.62	0.67
rTPJ	mi_rank	RF	['SpeechActivity_P', 'AU_all_I', 'AUs_mouth_I', 'SpeechActivity_I', 'Happy_I']	['AUs_mouth_I_t5', 'IPU_P_t6', 'TypeTokenRatio_P_t3', 'disc_IPU_I_t3', 'AUs_mouth_I_t3', 'disc_IPU_P_t5', 'AU_all_I_t5', 'IPU_I_t4', 'Happy_I_t3', 'IPU_P_t5', 'AU_all_I_t6', 'IPU_I_t3', 'disc_IPU_P_t4', 'disc_IPU_P_t3', 'IPU_P_t4', 'IPU_P_t3']	[0.46, 0.24, 0.1, 0.1, 0.08]	0.63	0.63
rPc	mi_rank	SVM	['SpeechActivity_P', 'Saccades_P']	['Neutral_I_t6', 'disc_IPU_P_t3', 'AU_eyes_I_t4', 'Saccades_P_t4', 'Saccades_P_t6', 'Saccades_P_t5', 'IPU_P_t3']	[0.88, 0.11]	0.57	0.58
rPc	mi_rank	RF	['Saccades_P', 'SpeechActivity_P']	['Saccades_P_t6', 'Saccades_P_t5', 'IPU_P_t3']	[0.61, 0.39]	0.56	0.58
